Geography,state,federal_public_employment_yoy_percent_change,leisure_and_hospitality_employment_yoy_percent_change,manufacturing_employment_yoy_percent_change,private_employment_yoy_percent_change,public_employment_yoy_percent_change,retail_trade_employment_yoy_percent_change,state_and_local_public_education_employment_yoy_percent_change,state_and_local_public_employment_yoy_percent_change,total_employment_yoy_percent_change,unemployment_rate_raw
2021-12-01,Nebraska,-3.46820809248556,8.21078431372549,1.52439024390244,1.40946873870617,0.473933649289089,0.0966183574879172,3.63436123348016,0.924092409240928,1.25137651416558,2.3
2022-01-01,Nebraska,-2.92397660818713,7.30816077953715,2.53292806484296,1.75713082200024,-1.12559241706161,0.479386385426654,1.71428571428571,-0.922874093605805,1.27038111433429,2.2
2022-02-01,Nebraska,-2.92397660818713,8.42358604091456,2.73003033367036,3.14913127413128,0.531914893617025,2.41080038572806,2.75633958103638,0.920447074293232,2.70541082164329,2.1
2022-03-01,Nebraska,-2.92397660818713,7.97619047619048,2.32088799192736,2.6890756302521,0.589622641509434,2.30547550432277,3.07692307692307,0.983606557377049,2.33393177737881,2.0
2022-04-01,Nebraska,-2.92397660818713,7.06713780918728,2.12121212121212,2.85474391267842,0.412979351032442,2.98363811357074,2.17627856365615,0.787401574803142,2.44218500797448,1.9
2022-05-01,Nebraska,-3.50877192982457,5.39906103286384,2.22897669706181,2.87838810266251,-0.176263219741471,1.82341650671784,1.40692640692639,0.195950359242333,2.36055776892431,1.9
2022-06-01,Nebraska,-3.55029585798815,5.17241379310345,2.92338709677419,3.09549420341819,-0.176159718144458,1.91754554170662,2.08333333333333,0.195567144719676,2.54220456802382,1.9
2022-07-01,Nebraska,-4.67836257309942,5.32276330690827,2.2,2.55648038049941,-0.704638872577814,0.859598853868187,-1.39949109414758,-0.261096605744148,2.00731731434786,2.0
2022-08-01,Nebraska,-2.97619047619048,3.65296803652968,1.89620758483033,2.24866151100535,0.176886792452837,0.573065902578791,1.13350125944583,0.523560209424091,1.90080190080189,2.1
2022-09-01,Nebraska,-2.97619047619048,7.23306544202068,1.29740518962076,3.2947355855318,0.470311581422699,1.81818181818182,1.66481687014428,0.84801043705154,2.81801944830324,2.2
2022-10-01,Nebraska,-2.9940119760479,5.84269662921349,3.13447927199191,3.26991676575505,1.12094395280236,3.28185328185329,2.03426124197001,1.57068062827225,2.90945076694707,2.4
2022-11-01,Nebraska,-2.39520958083832,5.92841163310962,2.61569416498993,3.30048676243619,1.53664302600474,3.18840579710145,2.12765957446809,1.9672131147541,3.0054374691053,2.5
2022-12-01,Nebraska,-2.39520958083832,6.56851642129105,2.5025025025025,3.50439534331195,1.59198113207548,2.02702702702704,2.12765957446809,2.02746893394375,3.18370575439984,2.6
2017-07-01,Nevada,2.15053763440859,0.288850375505488,10.9839816933638,2.78505325650427,1.69278996865203,1.11034004163775,2.28658536585366,1.63236337828246,2.65154417963062,4.8
2017-08-01,Nevada,1.06951871657754,-0.374208405296475,11.5909090909091,2.58575657321958,2.90220820189274,0.552868002764348,4.82654600301657,3.14735336194562,2.62412975288809,4.8
2017-09-01,Nevada,1.59574468085107,-0.23001725129385,13.1818181818182,2.69824744056916,2.78128950695323,0.759144237405103,4.93991989319091,2.94117647058825,2.70826975892585,4.8
2017-10-01,Nevada,2.67379679144385,0.663397750216329,13.0925507900677,2.98300381546998,1.45293746051799,0.964851826326675,1.05680317040951,1.28939828080228,2.79832253145254,4.8
2017-11-01,Nevada,1.59574468085107,0.690846286701219,13.4831460674157,3.08876968333622,1.32659507264687,1.16918844566712,0.907911802853441,1.29032258064517,2.87649341754815,4.8
2017-12-01,Nevada,1.05820105820107,0.977292325380866,13.8702460850112,3.39319633914695,1.4501891551072,1.5840220385675,0.896286811779773,1.50322118826057,3.15917375455651,4.9
2018-01-01,Nevada,0.529100529100537,0.741797432239664,14.9553571428571,3.27263356811544,0.566393958464447,1.03376981392143,-0.414364640883994,0.57142857142858,2.94762300657547,4.9
2018-02-01,Nevada,0.0,0.965909090909085,15.2654867256637,3.66375620612908,0.878293601003768,1.10116999311768,0.778210116731529,0.997150997151001,3.32931605905394,4.8
2018-03-01,Nevada,0.529100529100537,1.01954120645708,15.7549234135667,3.31322742332852,0.751408891671896,1.17079889807164,-0.127551020408174,0.781250000000016,3.00718132854578,4.7
2018-04-01,Nevada,1.05820105820107,1.02389078498293,15.948275862069,3.68349249658936,0.564263322884016,0.961538461538465,-0.657894736842105,0.497866287339984,3.31006530060798,4.5
2018-05-01,Nevada,1.06382978723404,0.713266761768902,16.4529914529915,3.48550539828275,0.625390869293308,1.09814687714483,-0.651041666666648,0.5669737774628,3.14324202963628,4.3
2018-06-01,Nevada,1.58730158730159,0.459506031016664,17.1247357293869,3.32852169482891,0.936914428482199,1.30404941660948,-0.286532951289402,0.849858356940522,3.04230826730453,4.2
2018-07-01,Nevada,1.05263157894736,0.806451612903229,15.8762886597938,3.61844899345962,-0.554870530209604,1.64722031571723,-3.57675111773471,-0.768156424580982,3.11310190369541,4.0
2018-08-01,Nevada,1.05820105820107,0.953481652701518,15.6822810590631,4.01425782907578,-0.735744941753518,2.06185567010309,-3.59712230215827,-0.970873786407751,3.43670791710153,4.0
2018-09-01,Nevada,0.523560209424073,0.77809798270893,15.8634538152611,3.74250232322379,0.184501845018457,1.91780821917809,-0.636132315521629,0.139372822299663,3.31278318354008,4.1
2018-10-01,Nevada,-0.520833333333322,0.659025787965619,15.7684630738523,3.73021219265748,1.68119551681197,1.29692832764506,2.35294117647058,1.98019801980199,3.48612965435395,4.2
2018-11-01,Nevada,0.523560209424073,0.91480846197827,16.4356435643564,3.72639530004197,2.36907730673316,1.08769544527532,2.95629820051414,2.61854210898796,3.56535246689843,4.3
2018-12-01,Nevada,0.523560209424073,1.33788784514659,16.6994106090373,3.46555323590814,1.80236171535115,0.745762711864403,2.15736040609137,1.97461212976023,3.26855123674911,4.5
2019-01-01,Nevada,1.57894736842106,1.69923534409516,15.9223300970874,3.69292189969226,1.68961201501877,1.63710777626194,1.66435506241332,1.70454545454544,3.45789589604289,4.5
2019-02-01,Nevada,2.10526315789473,1.71637591446258,14.7792706333973,3.31131296449215,2.23880597014925,1.15724982981619,2.57400257400257,2.25669957686882,3.18559556786704,4.5
2019-03-01,Nevada,1.57894736842106,1.31763386599383,13.2325141776938,3.18230408683497,2.23741454319453,1.22532334921714,2.93742017879949,2.32558139534882,3.0718954248366,4.4
2019-04-01,Nevada,1.04712041884816,1.40765765765766,10.2230483271375,3.17434210526315,2.49376558603491,1.08843537414966,3.97350993377483,2.68931351733898,3.09503051438535,4.2
2019-05-01,Nevada,2.10526315789473,1.13314447592068,8.44036697247707,3.08058818697117,2.48601615910503,0.678886625933469,3.8007863695937,2.53699788583509,3.01117399506603,3.9
2019-06-01,Nevada,1.5625,1.00057175528874,6.49819494584838,2.8186375215712,1.05198019801981,0.542005420054208,0.862068965517254,0.983146067415734,2.61153427638738,3.7
2019-07-01,Nevada,2.08333333333334,0.828571428571422,5.16014234875445,2.54119190097549,2.10787352758833,0.0675219446320016,3.5548686244204,2.11118930330751,2.49058789458441,3.7
2019-08-01,Nevada,3.66492146596858,0.429307384087006,4.22535211267607,2.24379895561358,3.15009264978381,-0.20202020202021,5.97014925373134,3.08123249299718,2.34954954954954,3.7
2019-09-01,Nevada,3.12500000000001,0.543322848155572,2.4263431542461,2.2557003257329,2.20994475138121,-0.470430107526893,3.45710627400769,2.0876826722338,2.25034150550003,3.8
2019-10-01,Nevada,3.14136125654449,0.483916880159405,1.55172413793103,2.14303109018588,1.95958358848744,-0.0673854447439315,3.32056194125161,1.80305131761442,2.12155963302752,3.9
2019-11-01,Nevada,3.64583333333333,0.453257790368278,0.340136054421774,2.79148798446476,1.82704019488429,-0.201748486886337,2.99625468164795,1.58620689655171,2.67838011570602,3.9
2019-12-01,Nevada,2.60416666666667,0.477528089887637,-0.33670033670033,3.01856335754642,2.014652014652,0.0672947510094174,2.73291925465839,1.93637621023512,2.90134017678928,3.8
2020-01-01,Nevada,3.10880829015543,0.0278473962684394,-1.17252931323284,2.47854335445575,2.33846153846155,0.0,3.95634379263302,2.23463687150839,2.46239000851547,3.8
