,county,state,year,population
0,Autauga County,Alabama,2019,55390.0
1,Baldwin County,Alabama,2019,212521.0
2,Barbour County,Alabama,2019,25157.0
3,Bibb County,Alabama,2019,22550.0
4,Blount County,Alabama,2019,57787.0
5,Bullock County,Alabama,2019,10176.0
6,Butler County,Alabama,2019,19888.0
7,Calhoun County,Alabama,2019,114710.0
8,Chambers County,Alabama,2019,33707.0
9,Cherokee County,Alabama,2019,25805.0
10,Chilton County,Alabama,2019,44120.0
11,Choctaw County,Alabama,2019,12925.0
12,Clarke County,Alabama,2019,24063.0
13,Clay County,Alabama,2019,13350.0
14,Cleburne County,Alabama,2019,14899.0
15,Coffee County,Alabama,2019,51853.0
16,Colbert County,Alabama,2019,54695.0
17,Conecuh County,Alabama,2019,12431.0
18,Coosa County,Alabama,2019,10724.0
19,Covington County,Alabama,2019,37062.0
20,Crenshaw County,Alabama,2019,13858.0
21,Cullman County,Alabama,2019,82867.0
22,Dale County,Alabama,2019,49342.0
23,Dallas County,Alabama,2019,39238.0
24,DeKalb County,Alabama,2019,71437.0
25,Elmore County,Alabama,2019,81422.0
26,Escambia County,Alabama,2019,36993.0
27,Etowah County,Alabama,2019,103007.0
28,Fayette County,Alabama,2019,16466.0
29,Franklin County,Alabama,2019,31542.0
30,Geneva County,Alabama,2019,26385.0
31,Greene County,Alabama,2019,8310.0
32,Hale County,Alabama,2019,14801.0
33,Henry County,Alabama,2019,17115.0
34,Houston County,Alabama,2019,104378.0
35,Jackson County,Alabama,2019,51828.0
36,Jefferson County,Alabama,2019,659599.0
37,Lamar County,Alabama,2019,13882.0
38,Lauderdale County,Alabama,2019,92564.0
39,Lawrence County,Alabama,2019,33063.0
40,Lee County,Alabama,2019,161440.0
41,Limestone County,Alabama,2019,94130.0
42,Lowndes County,Alabama,2019,10097.0
43,Macon County,Alabama,2019,18793.0
44,Madison County,Alabama,2019,361762.0
45,Marengo County,Alabama,2019,19396.0
46,Marion County,Alabama,2019,29792.0
47,Marshall County,Alabama,2019,95572.0
48,Mobile County,Alabama,2019,414045.0
49,Monroe County,Alabama,2019,21290.0
50,Montgomery County,Alabama,2019,227265.0
51,Morgan County,Alabama,2019,118918.0
52,Perry County,Alabama,2019,9302.0
53,Pickens County,Alabama,2019,20204.0
54,Pike County,Alabama,2019,33349.0
55,Randolph County,Alabama,2019,22687.0
56,Russell County,Alabama,2019,56985.0
57,St Clair County,Alabama,2019,87926.0
58,Shelby County,Alabama,2019,213633.0
59,Sumter County,Alabama,2019,12749.0
60,Talladega County,Alabama,2019,80142.0
61,Tallapoosa County,Alabama,2019,40613.0
62,Tuscaloosa County,Alabama,2019,207618.0
63,Walker County,Alabama,2019,63895.0
64,Washington County,Alabama,2019,16522.0
65,Wilcox County,Alabama,2019,10691.0
66,Winston County,Alabama,2019,23760.0
67,Aleutians East Borough,Alaska,2019,3455.0
68,Aleutians West Census Area,Alaska,2019,5729.0
69,Anchorage Municipality,Alaska,2019,294338.0
70,Bethel Census Area,Alaska,2019,18090.0
71,Bristol Bay Borough,Alaska,2019,869.0
72,Denali Borough,Alaska,2019,2084.0
73,Dillingham Census Area,Alaska,2019,4940.0
74,Fairbanks North Star Borough,Alaska,2019,99675.0
75,Haines Borough,Alaska,2019,2524.0
76,Hoonah-Angoon Census Area,Alaska,2019,2139.0
77,Juneau City and Borough,Alaska,2019,32098.0
78,Kenai Peninsula Borough,Alaska,2019,58558.0
79,Ketchikan Gateway Borough,Alaska,2019,13834.0
80,Kodiak Island Borough,Alaska,2019,13512.0
81,Kusilvak Census Area,Alaska,2019,8236.0
82,Lake and Peninsula Borough,Alaska,2019,1612.0
83,Matanuska-Susitna Borough,Alaska,2019,106232.0
84,Nome Census Area,Alaska,2019,10025.0
85,North Slope Borough,Alaska,2019,9795.0
86,Northwest Arctic Borough,Alaska,2019,7795.0
87,Petersburg Borough,Alaska,2019,3264.0
88,Prince of Wales-Hyder Census Area,Alaska,2019,6444.0
89,Sitka City and Borough,Alaska,2019,8641.0
90,Skagway Municipality,Alaska,2019,1167.0
91,Southeast Fairbanks Census Area,Alaska,2019,6892.0
92,Valdez-Cordova Census Area,Alaska,2019,9220.0
93,Wrangell City and Borough,Alaska,2019,2521.0
94,Yakutat City and Borough,Alaska,2019,602.0
95,Yukon-Koyukuk Census Area,Alaska,2019,5409.0
96,Apache County,Arizona,2019,71545.0
97,Cochise County,Arizona,2019,124864.0
98,Coconino County,Arizona,2019,141001.0
99,Gila County,Arizona,2019,53578.0
100,Graham County,Arizona,2019,37481.0
101,Greenlee County,Arizona,2019,9443.0
102,La Paz County,Arizona,2019,20706.0
103,Maricopa County,Arizona,2019,4327184.0
104,Mohave County,Arizona,2019,207017.0
105,Navajo County,Arizona,2019,109079.0
106,Pima County,Arizona,2019,1026391.0
107,Pinal County,Arizona,2019,431564.0
108,Santa Cruz County,Arizona,2019,46566.0
109,Yavapai County,Arizona,2019,228082.0
110,Yuma County,Arizona,2019,209507.0
111,Arkansas County,Arkansas,2019,17872.0
112,Ashley County,Arkansas,2019,20311.0
113,Baxter County,Arkansas,2019,41308.0
114,Benton County,Arkansas,2019,266585.0
115,Boone County,Arkansas,2019,37459.0
116,Bradley County,Arkansas,2019,10813.0
117,Calhoun County,Arkansas,2019,5201.0
118,Carroll County,Arkansas,2019,27865.0
119,Chicot County,Arkansas,2019,10647.0
120,Clark County,Arkansas,2019,22184.0
121,Clay County,Arkansas,2019,14865.0
122,Cleburne County,Arkansas,2019,25059.0
123,Cleveland County,Arkansas,2019,8162.0
124,Columbia County,Arkansas,2019,23695.0
125,Conway County,Arkansas,2019,20810.0
126,Craighead County,Arkansas,2019,107188.0
127,Crawford County,Arkansas,2019,62894.0
128,Crittenden County,Arkansas,2019,48716.0
129,Cross County,Arkansas,2019,16792.0
130,Dallas County,Arkansas,2019,7307.0
131,Desha County,Arkansas,2019,11743.0
132,Drew County,Arkansas,2019,18370.0
133,Faulkner County,Arkansas,2019,123530.0
134,Franklin County,Arkansas,2019,17809.0
135,Fulton County,Arkansas,2019,12131.0
136,Garland County,Arkansas,2019,98327.0
137,Grant County,Arkansas,2019,18103.0
138,Greene County,Arkansas,2019,44993.0
139,Hempstead County,Arkansas,2019,21876.0
140,Hot Spring County,Arkansas,2019,33606.0
141,Howard County,Arkansas,2019,13365.0
142,Independence County,Arkansas,2019,37391.0
143,Izard County,Arkansas,2019,13666.0
144,Jackson County,Arkansas,2019,17017.0
145,Jefferson County,Arkansas,2019,69238.0
146,Johnson County,Arkansas,2019,26401.0
147,Lafayette County,Arkansas,2019,6797.0
148,Lawrence County,Arkansas,2019,16571.0
149,Lee County,Arkansas,2019,9127.0
150,Lincoln County,Arkansas,2019,13475.0
151,Little River County,Arkansas,2019,12373.0
152,Logan County,Arkansas,2019,21739.0
153,Lonoke County,Arkansas,2019,72778.0
154,Madison County,Arkansas,2019,16299.0
155,Marion County,Arkansas,2019,16429.0
156,Miller County,Arkansas,2019,43736.0
157,Mississippi County,Arkansas,2019,42112.0
158,Monroe County,Arkansas,2019,7013.0
159,Montgomery County,Arkansas,2019,8890.0
160,Nevada County,Arkansas,2019,8309.0
161,Newton County,Arkansas,2019,7815.0
162,Ouachita County,Arkansas,2019,23817.0
163,Perry County,Arkansas,2019,10346.0
164,Phillips County,Arkansas,2019,18599.0
165,Pike County,Arkansas,2019,10735.0
166,Poinsett County,Arkansas,2019,24071.0
167,Polk County,Arkansas,2019,20147.0
168,Pope County,Arkansas,2019,63634.0
169,Prairie County,Arkansas,2019,8248.0
170,Pulaski County,Arkansas,2019,393280.0
171,Randolph County,Arkansas,2019,17665.0
172,St Francis County,Arkansas,2019,25997.0
173,Saline County,Arkansas,2019,119520.0
174,Scott County,Arkansas,2019,10369.0
175,Searcy County,Arkansas,2019,7927.0
176,Sebastian County,Arkansas,2019,127786.0
177,Sevier County,Arkansas,2019,17103.0
178,Sharp County,Arkansas,2019,17147.0
179,Stone County,Arkansas,2019,12520.0
180,Union County,Arkansas,2019,39460.0
181,Van Buren County,Arkansas,2019,16552.0
182,Washington County,Arkansas,2019,232732.0
183,White County,Arkansas,2019,78844.0
184,Woodruff County,Arkansas,2019,6575.0
185,Yell County,Arkansas,2019,21509.0
186,Alameda County,California,2019,1660196.0
187,Alpine County,California,2019,1111.0
188,Amador County,California,2019,38529.0
189,Butte County,California,2019,228696.0
190,Calaveras County,California,2019,45681.0
191,Colusa County,California,2019,21579.0
192,Contra Costa County,California,2019,1145535.0
193,Del Norte County,California,2019,27351.0
194,El Dorado County,California,2019,188679.0
195,Fresno County,California,2019,985238.0
196,Glenn County,California,2019,27926.0
197,Humboldt County,California,2019,136507.0
198,Imperial County,California,2019,181649.0
199,Inyo County,California,2019,17868.0
200,Kern County,California,2019,887356.0
201,Kings County,California,2019,149665.0
202,Lake County,California,2019,64111.0
203,Lassen County,California,2019,30920.0
204,Los Angeles County,California,2019,10103711.0
205,Madera County,California,2019,155423.0
206,Marin County,California,2019,259749.0
207,Mariposa County,California,2019,17414.0
208,Mendocino County,California,2019,87576.0
209,Merced County,California,2019,271096.0
210,Modoc County,California,2019,8876.0
211,Mono County,California,2019,14354.0
212,Monterey County,California,2019,434534.0
213,Napa County,California,2019,139878.0
214,Nevada County,California,2019,99367.0
215,Orange County,California,2019,3174289.0
216,Placer County,California,2019,385115.0
217,Plumas County,California,2019,18660.0
218,Riverside County,California,2019,2414964.0
219,Sacramento County,California,2019,1527301.0
220,San Benito County,California,2019,60164.0
221,San Bernardino County,California,2019,2150945.0
222,San Diego County,California,2019,3321237.0
223,San Francisco County,California,2019,878040.0
224,San Joaquin County,California,2019,743296.0
225,San Luis Obispo County,California,2019,282481.0
226,San Mateo County,California,2019,768901.0
227,Santa Barbara County,California,2019,445298.0
228,Santa Clara County,California,2019,1932510.0
229,Santa Cruz County,California,2019,274856.0
230,Shasta County,California,2019,179384.0
231,Sierra County,California,2019,3002.0
232,Siskiyou County,California,2019,43622.0
233,Solano County,California,2019,443511.0
234,Sonoma County,California,2019,502469.0
235,Stanislaus County,California,2019,544717.0
236,Sutter County,California,2019,96204.0
237,Tehama County,California,2019,63847.0
238,Trinity County,California,2019,12726.0
239,Tulare County,California,2019,462308.0
240,Tuolumne County,California,2019,53976.0
241,Ventura County,California,2019,849044.0
242,Yolo County,California,2019,218477.0
243,Yuba County,California,2019,76578.0
244,Adams County,Colorado,2019,503590.0
245,Alamosa County,Colorado,2019,16108.0
246,Arapahoe County,Colorado,2019,644478.0
247,Archuleta County,Colorado,2019,13295.0
248,Baca County,Colorado,2019,3554.0
249,Bent County,Colorado,2019,5827.0
250,Boulder County,Colorado,2019,322441.0
251,Broomfield County,Colorado,2019,68263.0
252,Chaffee County,Colorado,2019,19666.0
253,Cheyenne County,Colorado,2019,1853.0
254,Clear Creek County,Colorado,2019,9574.0
255,Conejos County,Colorado,2019,8139.0
256,Costilla County,Colorado,2019,3756.0
257,Crowley County,Colorado,2019,5840.0
258,Custer County,Colorado,2019,4857.0
259,Delta County,Colorado,2019,30519.0
260,Denver County,Colorado,2019,704961.0
261,Dolores County,Colorado,2019,2045.0
262,Douglas County,Colorado,2019,335816.0
263,Eagle County,Colorado,2019,54929.0
264,Elbert County,Colorado,2019,25765.0
265,El Paso County,Colorado,2019,700099.0
266,Fremont County,Colorado,2019,47548.0
267,Garfield County,Colorado,2019,59032.0
268,Gilpin County,Colorado,2019,6018.0
269,Grand County,Colorado,2019,15364.0
270,Gunnison County,Colorado,2019,16863.0
271,Hinsdale County,Colorado,2019,791.0
272,Huerfano County,Colorado,2019,6628.0
273,Jackson County,Colorado,2019,1375.0
274,Jefferson County,Colorado,2019,575417.0
275,Kiowa County,Colorado,2019,1365.0
276,Kit Carson County,Colorado,2019,7137.0
277,Lake County,Colorado,2019,7750.0
278,La Plata County,Colorado,2019,55563.0
279,Larimer County,Colorado,2019,344084.0
280,Las Animas County,Colorado,2019,14201.0
281,Lincoln County,Colorado,2019,5523.0
282,Logan County,Colorado,2019,22317.0
283,Mesa County,Colorado,2019,151170.0
284,Mineral County,Colorado,2019,753.0
285,Moffat County,Colorado,2019,13088.0
286,Montezuma County,Colorado,2019,26112.0
287,Montrose County,Colorado,2019,41753.0
288,Morgan County,Colorado,2019,28295.0
289,Otero County,Colorado,2019,18345.0
290,Ouray County,Colorado,2019,4813.0
291,Park County,Colorado,2019,17894.0
292,Phillips County,Colorado,2019,4288.0
293,Pitkin County,Colorado,2019,17973.0
294,Prowers County,Colorado,2019,11998.0
295,Pueblo County,Colorado,2019,166283.0
296,Rio Blanco County,Colorado,2019,6352.0
297,Rio Grande County,Colorado,2019,11297.0
298,Routt County,Colorado,2019,25171.0
299,Saguache County,Colorado,2019,6633.0
300,San Juan County,Colorado,2019,712.0
301,San Miguel County,Colorado,2019,8034.0
302,Sedgwick County,Colorado,2019,2311.0
303,Summit County,Colorado,2019,30820.0
304,Teller County,Colorado,2019,24674.0
305,Washington County,Colorado,2019,4921.0
306,Weld County,Colorado,2019,305885.0
307,Yuma County,Colorado,2019,9959.0
308,Fairfield County,Connecticut,2019,943038.0
309,Hartford County,Connecticut,2019,893076.0
310,Litchfield County,Connecticut,2019,181667.0
311,Middlesex County,Connecticut,2019,162942.0
312,New Haven County,Connecticut,2019,857748.0
313,New London County,Connecticut,2019,267419.0
314,Tolland County,Connecticut,2019,151009.0
315,Windham County,Connecticut,2019,116398.0
316,Kent County,Delaware,2019,176499.0
317,New Castle County,Delaware,2019,555976.0
318,Sussex County,Delaware,2019,224348.0
319,District of Columbia,District of Columbia,2019,694906.0
320,Alachua County,Florida,2019,266309.0
321,Baker County,Florida,2019,28254.0
322,Bay County,Florida,2019,184736.0
323,Bradford County,Florida,2019,27142.0
324,Brevard County,Florida,2019,587769.0
325,Broward County,Florida,2019,1934516.0
326,Calhoun County,Florida,2019,14428.0
327,Charlotte County,Florida,2019,181522.0
328,Citrus County,Florida,2019,145415.0
329,Clay County,Florida,2019,212228.0
330,Collier County,Florida,2019,372678.0
331,Columbia County,Florida,2019,69999.0
332,DeSoto County,Florida,2019,37241.0
333,Dixie County,Florida,2019,16615.0
334,Duval County,Florida,2019,937933.0
335,Escambia County,Florida,2019,313249.0
336,Flagler County,Florida,2019,109999.0
337,Franklin County,Florida,2019,11724.0
338,Gadsden County,Florida,2019,45993.0
339,Gilchrist County,Florida,2019,17900.0
340,Glades County,Florida,2019,13580.0
341,Gulf County,Florida,2019,16105.0
342,Hamilton County,Florida,2019,14364.0
343,Hardee County,Florida,2019,27154.0
344,Hendry County,Florida,2019,41018.0
345,Hernando County,Florida,2019,186704.0
346,Highlands County,Florida,2019,103852.0
347,Hillsborough County,Florida,2019,1426736.0
348,Holmes County,Florida,2019,19427.0
349,Indian River County,Florida,2019,154241.0
350,Jackson County,Florida,2019,48289.0
351,Jefferson County,Florida,2019,14165.0
352,Lafayette County,Florida,2019,8602.0
353,Lake County,Florida,2019,345432.0
354,Lee County,Florida,2019,740000.0
355,Leon County,Florida,2019,290965.0
356,Levy County,Florida,2019,40276.0
357,Liberty County,Florida,2019,8236.0
358,Madison County,Florida,2019,18474.0
359,Manatee County,Florida,2019,385506.0
360,Marion County,Florida,2019,353339.0
361,Martin County,Florida,2019,159701.0
362,Miami-Dade County,Florida,2019,2713295.0
363,Monroe County,Florida,2019,76483.0
364,Nassau County,Florida,2019,82925.0
365,Okaloosa County,Florida,2019,203478.0
366,Okeechobee County,Florida,2019,41275.0
367,Orange County,Florida,2019,1355921.0
368,Osceola County,Florida,2019,353623.0
369,Palm Beach County,Florida,2019,1470344.0
370,Pasco County,Florida,2019,525141.0
371,Pinellas County,Florida,2019,968341.0
372,Polk County,Florida,2019,685368.0
373,Putnam County,Florida,2019,73384.0
374,St Johns County,Florida,2019,243693.0
375,St Lucie County,Florida,2019,313163.0
376,Santa Rosa County,Florida,2019,174049.0
377,Sarasota County,Florida,2019,419680.0
378,Seminole County,Florida,2019,462801.0
379,Sumter County,Florida,2019,124995.0
380,Suwannee County,Florida,2019,44124.0
381,Taylor County,Florida,2019,21781.0
382,Union County,Florida,2019,15448.0
383,Volusia County,Florida,2019,537868.0
384,Wakulla County,Florida,2019,32050.0
385,Walton County,Florida,2019,68021.0
386,Washington County,Florida,2019,24546.0
387,Appling County,Georgia,2019,18438.0
388,Atkinson County,Georgia,2019,8182.0
389,Bacon County,Georgia,2019,11205.0
390,Baker County,Georgia,2019,3159.0
391,Baldwin County,Georgia,2019,44963.0
392,Banks County,Georgia,2019,18628.0
393,Barrow County,Georgia,2019,78899.0
394,Bartow County,Georgia,2019,105098.0
395,Ben Hill County,Georgia,2019,17037.0
396,Berrien County,Georgia,2019,19108.0
397,Bibb County,Georgia,2019,152840.0
398,Bleckley County,Georgia,2019,12764.0
399,Brantley County,Georgia,2019,18832.0
400,Brooks County,Georgia,2019,15617.0
401,Bryan County,Georgia,2019,36999.0
402,Bulloch County,Georgia,2019,75991.0
403,Burke County,Georgia,2019,22545.0
404,Butts County,Georgia,2019,24067.0
405,Calhoun County,Georgia,2019,6389.0
406,Camden County,Georgia,2019,53005.0
407,Candler County,Georgia,2019,10706.0
408,Carroll County,Georgia,2019,117390.0
409,Catoosa County,Georgia,2019,66495.0
410,Charlton County,Georgia,2019,12810.0
411,Chatham County,Georgia,2019,289309.0
412,Chattahoochee County,Georgia,2019,10205.0
413,Chattooga County,Georgia,2019,24746.0
414,Cherokee County,Georgia,2019,247763.0
415,Clarke County,Georgia,2019,126815.0
416,Clay County,Georgia,2019,2955.0
417,Clayton County,Georgia,2019,284184.0
418,Clinch County,Georgia,2019,6643.0
419,Cobb County,Georgia,2019,752649.0
420,Coffee County,Georgia,2019,42880.0
421,Colquitt County,Georgia,2019,45480.0
422,Columbia County,Georgia,2019,151529.0
423,Cook County,Georgia,2019,17213.0
424,Coweta County,Georgia,2019,143153.0
425,Crawford County,Georgia,2019,12263.0
426,Crisp County,Georgia,2019,22710.0
427,Dade County,Georgia,2019,16254.0
428,Dawson County,Georgia,2019,24406.0
429,Decatur County,Georgia,2019,26706.0
430,DeKalb County,Georgia,2019,751176.0
431,Dodge County,Georgia,2019,20749.0
432,Dooly County,Georgia,2019,13691.0
433,Dougherty County,Georgia,2019,89457.0
434,Douglas County,Georgia,2019,143376.0
435,Early County,Georgia,2019,10317.0
436,Echols County,Georgia,2019,3914.0
437,Effingham County,Georgia,2019,60086.0
438,Elbert County,Georgia,2019,19102.0
439,Emanuel County,Georgia,2019,22533.0
440,Evans County,Georgia,2019,10741.0
441,Fannin County,Georgia,2019,25332.0
442,Fayette County,Georgia,2019,112553.0
443,Floyd County,Georgia,2019,97500.0
444,Forsyth County,Georgia,2019,228940.0
445,Franklin County,Georgia,2019,22864.0
446,Fulton County,Georgia,2019,1038938.0
447,Gilmer County,Georgia,2019,30443.0
448,Glascock County,Georgia,2019,3032.0
449,Glynn County,Georgia,2019,84675.0
450,Gordon County,Georgia,2019,57164.0
451,Grady County,Georgia,2019,24773.0
452,Greene County,Georgia,2019,17203.0
453,Gwinnett County,Georgia,2019,918186.0
454,Habersham County,Georgia,2019,44535.0
455,Hall County,Georgia,2019,198953.0
456,Hancock County,Georgia,2019,8539.0
457,Haralson County,Georgia,2019,29248.0
458,Harris County,Georgia,2019,33943.0
459,Hart County,Georgia,2019,25710.0
460,Heard County,Georgia,2019,11751.0
461,Henry County,Georgia,2019,225182.0
462,Houston County,Georgia,2019,153202.0
463,Irwin County,Georgia,2019,9352.0
464,Jackson County,Georgia,2019,67644.0
465,Jasper County,Georgia,2019,13882.0
466,Jeff Davis County,Georgia,2019,15039.0
467,Jefferson County,Georgia,2019,15630.0
468,Jenkins County,Georgia,2019,8813.0
469,Johnson County,Georgia,2019,9737.0
470,Jones County,Georgia,2019,28466.0
471,Lamar County,Georgia,2019,18600.0
472,Lanier County,Georgia,2019,10425.0
473,Laurens County,Georgia,2019,47376.0
474,Lee County,Georgia,2019,29410.0
475,Liberty County,Georgia,2019,61619.0
476,Lincoln County,Georgia,2019,7856.0
477,Long County,Georgia,2019,18780.0
478,Lowndes County,Georgia,2019,115404.0
479,Lumpkin County,Georgia,2019,32801.0
480,McDuffie County,Georgia,2019,21511.0
481,McIntosh County,Georgia,2019,14080.0
482,Macon County,Georgia,2019,13254.0
483,Madison County,Georgia,2019,29295.0
484,Marion County,Georgia,2019,8403.0
485,Meriwether County,Georgia,2019,21021.0
486,Miller County,Georgia,2019,5813.0
487,Mitchell County,Georgia,2019,22317.0
488,Monroe County,Georgia,2019,27163.0
489,Montgomery County,Georgia,2019,9024.0
490,Morgan County,Georgia,2019,18373.0
491,Murray County,Georgia,2019,39803.0
492,Muscogee County,Georgia,2019,193836.0
493,Newton County,Georgia,2019,107846.0
494,Oconee County,Georgia,2019,38122.0
495,Oglethorpe County,Georgia,2019,14874.0
496,Paulding County,Georgia,2019,159509.0
497,Peach County,Georgia,2019,26961.0
498,Pickens County,Georgia,2019,31541.0
499,Pierce County,Georgia,2019,19197.0
500,Pike County,Georgia,2019,18204.0
501,Polk County,Georgia,2019,41818.0
502,Pulaski County,Georgia,2019,11181.0
503,Putnam County,Georgia,2019,21692.0
504,Quitman County,Georgia,2019,2333.0
505,Rabun County,Georgia,2019,16545.0
506,Randolph County,Georgia,2019,6969.0
507,Richmond County,Georgia,2019,201673.0
508,Rockdale County,Georgia,2019,89843.0
509,Schley County,Georgia,2019,5235.0
510,Screven County,Georgia,2019,13956.0
511,Seminole County,Georgia,2019,8253.0
512,Spalding County,Georgia,2019,65358.0
513,Stephens County,Georgia,2019,25736.0
514,Stewart County,Georgia,2019,6314.0
515,Sumter County,Georgia,2019,29901.0
516,Talbot County,Georgia,2019,6256.0
517,Taliaferro County,Georgia,2019,1613.0
518,Tattnall County,Georgia,2019,25409.0
519,Taylor County,Georgia,2019,8110.0
520,Telfair County,Georgia,2019,15929.0
521,Terrell County,Georgia,2019,8695.0
522,Thomas County,Georgia,2019,44619.0
523,Tift County,Georgia,2019,40431.0
524,Toombs County,Georgia,2019,26859.0
525,Towns County,Georgia,2019,11553.0
526,Treutlen County,Georgia,2019,6746.0
527,Troup County,Georgia,2019,70062.0
528,Turner County,Georgia,2019,7895.0
529,Twiggs County,Georgia,2019,8253.0
530,Union County,Georgia,2019,23376.0
531,Upson County,Georgia,2019,26201.0
532,Walker County,Georgia,2019,68999.0
533,Walton County,Georgia,2019,91296.0
534,Ware County,Georgia,2019,35668.0
535,Warren County,Georgia,2019,5265.0
536,Washington County,Georgia,2019,20311.0
537,Wayne County,Georgia,2019,29797.0
538,Webster County,Georgia,2019,2589.0
539,Wheeler County,Georgia,2019,7960.0
540,White County,Georgia,2019,29445.0
541,Whitfield County,Georgia,2019,104234.0
542,Wilcox County,Georgia,2019,8791.0
543,Wilkes County,Georgia,2019,9860.0
544,Wilkinson County,Georgia,2019,8954.0
545,Worth County,Georgia,2019,20528.0
546,Hawaii County,Hawaii,2019,199981.0
547,Honolulu County,Hawaii,2019,986353.0
548,Kalawao County,Hawaii,2019,86.0
549,Kauai County,Hawaii,2019,71827.0
550,Maui County,Hawaii,2019,166146.0
551,Ada County,Idaho,2019,456548.0
552,Adams County,Idaho,2019,4127.0
553,Bannock County,Idaho,2019,85482.0
554,Bear Lake County,Idaho,2019,6023.0
555,Benewah County,Idaho,2019,9157.0
556,Bingham County,Idaho,2019,45884.0
557,Blaine County,Idaho,2019,22373.0
558,Boise County,Idaho,2019,7347.0
559,Bonner County,Idaho,2019,43654.0
560,Bonneville County,Idaho,2019,114488.0
561,Boundary County,Idaho,2019,11965.0
562,Butte County,Idaho,2019,2585.0
563,Camas County,Idaho,2019,1096.0
564,Canyon County,Idaho,2019,216858.0
565,Caribou County,Idaho,2019,6973.0
566,Cassia County,Idaho,2019,23650.0
567,Clark County,Idaho,2019,879.0
568,Clearwater County,Idaho,2019,8646.0
569,Custer County,Idaho,2019,4135.0
570,Elmore County,Idaho,2019,26881.0
571,Franklin County,Idaho,2019,13467.0
572,Fremont County,Idaho,2019,13122.0
573,Gem County,Idaho,2019,17311.0
574,Gooding County,Idaho,2019,15121.0
575,Idaho County,Idaho,2019,16373.0
576,Jefferson County,Idaho,2019,28439.0
577,Jerome County,Idaho,2019,23768.0
578,Kootenai County,Idaho,2019,157320.0
579,Latah County,Idaho,2019,39741.0
580,Lemhi County,Idaho,2019,7829.0
581,Lewis County,Idaho,2019,3884.0
582,Lincoln County,Idaho,2019,5376.0
583,Madison County,Idaho,2019,39370.0
584,Minidoka County,Idaho,2019,20722.0
585,Nez Perce County,Idaho,2019,40289.0
586,Oneida County,Idaho,2019,4389.0
587,Owyhee County,Idaho,2019,11618.0
588,Payette County,Idaho,2019,23163.0
589,Power County,Idaho,2019,7606.0
590,Shoshone County,Idaho,2019,12519.0
591,Teton County,Idaho,2019,11445.0
592,Twin Falls County,Idaho,2019,85374.0
593,Valley County,Idaho,2019,10667.0
594,Washington County,Idaho,2019,10051.0
595,Adams County,Illinois,2019,66057.0
596,Alexander County,Illinois,2019,6278.0
597,Bond County,Illinois,2019,16648.0
598,Boone County,Illinois,2019,53513.0
599,Brown County,Illinois,2019,6609.0
600,Bureau County,Illinois,2019,33137.0
601,Calhoun County,Illinois,2019,4851.0
602,Carroll County,Illinois,2019,14475.0
603,Cass County,Illinois,2019,12492.0
604,Champaign County,Illinois,2019,210425.0
605,Christian County,Illinois,2019,33007.0
606,Clark County,Illinois,2019,15812.0
607,Clay County,Illinois,2019,13270.0
608,Clinton County,Illinois,2019,37645.0
609,Coles County,Illinois,2019,51353.0
610,Cook County,Illinois,2019,5200821.0
611,Crawford County,Illinois,2019,18975.0
612,Cumberland County,Illinois,2019,10880.0
613,DeKalb County,Illinois,2019,104309.0
614,De Witt County,Illinois,2019,15906.0
615,Douglas County,Illinois,2019,19629.0
616,DuPage County,Illinois,2019,930265.0
617,Edgar County,Illinois,2019,17390.0
618,Edwards County,Illinois,2019,6448.0
619,Effingham County,Illinois,2019,34123.0
620,Fayette County,Illinois,2019,21514.0
621,Ford County,Illinois,2019,13298.0
622,Franklin County,Illinois,2019,38995.0
623,Fulton County,Illinois,2019,35104.0
624,Gallatin County,Illinois,2019,5071.0
625,Greene County,Illinois,2019,13156.0
626,Grundy County,Illinois,2019,50622.0
627,Hamilton County,Illinois,2019,8181.0
628,Hancock County,Illinois,2019,17958.0
629,Hardin County,Illinois,2019,3922.0
630,Henderson County,Illinois,2019,6819.0
631,Henry County,Illinois,2019,49219.0
632,Iroquois County,Illinois,2019,27777.0
633,Jackson County,Illinois,2019,57904.0
634,Jasper County,Illinois,2019,9523.0
635,Jefferson County,Illinois,2019,38045.0
636,Jersey County,Illinois,2019,21912.0
637,Jo Daviess County,Illinois,2019,21495.0
638,Johnson County,Illinois,2019,12399.0
639,Kane County,Illinois,2019,532272.0
640,Kankakee County,Illinois,2019,110540.0
641,Kendall County,Illinois,2019,126152.0
642,Knox County,Illinois,2019,50577.0
643,Lake County,Illinois,2019,702475.0
644,LaSalle County,Illinois,2019,109622.0
645,Lawrence County,Illinois,2019,16027.0
646,Lee County,Illinois,2019,34540.0
647,Livingston County,Illinois,2019,36124.0
648,Logan County,Illinois,2019,29034.0
649,McDonough County,Illinois,2019,30373.0
650,McHenry County,Illinois,2019,307815.0
651,McLean County,Illinois,2019,172754.0
652,Macon County,Illinois,2019,105399.0
653,Macoupin County,Illinois,2019,45505.0
654,Madison County,Illinois,2019,265251.0
655,Marion County,Illinois,2019,37726.0
656,Marshall County,Illinois,2019,11668.0
657,Mason County,Illinois,2019,13677.0
658,Massac County,Illinois,2019,14291.0
659,Menard County,Illinois,2019,12293.0
660,Mercer County,Illinois,2019,15608.0
661,Monroe County,Illinois,2019,34179.0
662,Montgomery County,Illinois,2019,28781.0
663,Morgan County,Illinois,2019,34245.0
